ID,Date,Voucher ID,Customer,Product,Tax %,Rate,Qty,Total,GrandTotal,
1,18/04/2018,LEO-001/18-19,SUNDARAM AGENCIES - PERAIYUR,,,,,,21315.00,
,,,,Amogam 17:17:17(GR),5,625.00,20,12500.00,,
,,,,AMOGAM (20:0:10),5,390.00,20,7800.00,,
2,18/04/2018,LEO-002/18-19,NIRAIPANDIYAN AGENCIES (Andipatty),,,,,,33790.00,
,,,,THANGA THAMARAI STD MIX NO: 18,5,609.54,40,24381.60,,
,,,,AMOGAM(20:0:10),5,390.00,20,7800.00,,
3,4/18/2018,LEO-003/18-19,GANAPATHY AGRO SERVICE - SIVAKASI,,,,,,78750.00,
,,,,GOLD LOTUS STD MIX NO: 18(SUPER),5,750.00,100,75000.00,,
4,18/04/2018,LEO-004/18-19,LAKSHMI AGRO SERVICE - ERIYODU,,,,,,4480.00,
,,,,NUTRINOL BASEL ALLCROP5KG,12,200.00,20,4000.00,,
5,18/04/2018,LEO-005/18-19,J J TRADERS - VILLUKURI,,,,,,3001.00,
,,,,NUTRINOL COCOMIX - 1KG,12,67.00,40,2680.00,,
6,18/04/2018,LEO-006/18-19,ARA AGRI BUSINESS,,,,,,15750.00,
,,,,GOLD LOTUS STD MIX NO: 18(SUPER),5,750.00,20,15000.00,,
7,18/04/2018,LEO-007/18-19,NATHAM SRI MARIAMMAN[V]STORE,,,,,,13125.00,
,,,,THANGA THAMARAI STD MIX NO: 18,5,625.00,20,12500.00,,
8,18/04/2018,LEO-008/18-19,RAJA AGRO AGENCIES - VAIAMPATTI,,,,,,29714.00,
,,,,LEOOUT 50ML,18,150.00,60,9000.00,,
,,,,LEOOUT 100ML,18,295.80,30,8874.00,,
,,,,LEOOUT 250ML,18,730.80,10,7308.00,,
9,18/04/2018,LEO-009/18-19,RAJA URA KADAI - NATHAM,,,,,,26985.00,
,,,,THANGA THAMARAI STD MIX NO: 12,5,268.00,25,6700.00,,
,,,,THANGA THAMARAI STD MIX NO: 18,5,625.00,20,12500.00,,
,,,,Amogam 17:17:17(GR),5,650.00,10,6500.00,,
10,18/04/2018,LEO-010/18-19,NATHAM SRI MARIAMMAN[V]STORE,,,,,,6825.00,
,,,,Amogam 17:17:17(GR),5,650.00,10,6500.00,,
11,18/04/2018,LEO-011/18-19,SRI LAKSHMI AGENCIES - THIRUVANNAMALAI,,,,,,19737.00,
,,,,XLSC 1LIT,18,140.00,10,1400.00,,
,,,,FLORA RICE 100ML,18,20.00,200,4000.00,,
,,,,FLORA RICE 250ML,18,37.00,80,2960.00,,
,,,,FLORA RICE 500ML,18,70.00,20,1400.00,,
,,,,VSAP FLOWER 100GM,12,11.00,100,1100.00,,
,,,,VSAP FLOWER 250GM,12,26.00,240,6240.00,,
12,18/04/2018,LEO-012/18-19,ANNAI AGRO AGENCIES-ERAIYUR,,,,,,14750.00,
,,,,XLSC 100ML,18,12.50,500,6250.00,,
,,,,LEONITRO 100ML,18,12.50,500,6250.00,,
13,19/04/2018,LEO-013/18-19,AATHI URA KADAI-VIRUVEEDU,,,,,,4682.00,
,,,,LEOHUMIC GR(SEAWED GR)4KG BUCKET,,12.00,140,1680.00,,
,,,,LEOHUMI GR(SEAWED GR) 8KG BUCKET,,8.00,286,2288.00,,
14,19/04/2018,LEO-014/18-19,SRI BHARATHI AGRO TRADERS - THAMMAMPATTI,,,,,,10785.00,0.20
,,,,LEOHUMI 250ML,18,80.00,40,3200.00,,
,,,,LEOHUMI 500ML,18,115.00,20,2300.00,,
,,,,MAGICPLUS 5ML,18,32.00,40,1280.00,,
,,,,MAGICPLUS 10ML,18,59.00,40,2360.00,,
15,19/04/2018,LEO-015/18-19,R.B.S.AGRO - KODAIKANAL,,,,,,4032.00,0
,,,,ROSEMIX 500GM,12,18.00,200,3600.00,,
16,19/04/2018,LEO-016/18-19,WINNERS AGRO-NATHAM,,,,,,2240.00,
,,,,NUTRINOL BASEL ALLCROP5KG,12,200.00,10,2000.00,,
17,19/04/2018,LEO-017/18-19,GREENLIFE BIO TECH LABORATARY,,,,,,5192.00,
,,,,NITRO BENZENE 20%-50LITRE,18,82.00,50,4100,,
,,,,Old Can - 50 Lit,18,300.00,1,300,,
18,19/04/2018,LEO-018/18-19,MAX CROP CARE - AUNDIPATTY,,,,,,5120.00,
,,,,SPEED90 100ML,28,40.00,100,4000,,
19,19/04/2018,LEO-019/18-19,Murugan,,,,,,885.00,
,,,,LEOOUT 50ML,18,150.00,5,750,,
20,19/04/2018,LEO-020/18-19,FARITHA AGENCIES- KARUNKALAKUDI,,,,,,7245.00,
,,,,THANGA THAMARAI STD MIX NO: 12,5,276.00,25,6900,,
21,20/04/2018,LEO-021/18-19,SEETHALAKSHMI STORE - KATTUKUDIPATTI,,,,,,7875.00,
,,,,GOLD LOTUS (SUPER) NO:12,5,300.00,25,7500,,
22,20/04/2018,LEO-022/18-19,THANGAM TRADERS - PONNAMARAVATHY,,,,,,25095.70,
,,,,GOLD LOTUS (SUPER) NO:12,5,300.00,25,7500.00,,
,,,,GOLD LOTUS STD MIX NO: 18(SUPER),5,725.00,10,7250.00,,
,,,,Amogam 17:17:17(GR),5,650.00,10,6500.00,,
,,,,ROSEMIX 500GM,12,40.00,40,1600.00,,
,,,,LEOHUMIC GR(SEAWED GR)4KG BUCKET,18,140.00,6,840.00,,
23,20/04/2018,LEO-023/18-19,TAJURAKADAI-KARUNGALAKKUDI,,,,,,6825.00,
,,,,Amogam 17:17:17(GR),5,650.00,10,6500.00,,
24,20/04/2018,LEO-024/18-19,SOUTHERN CROP CARE - THENI,,,,,,8425.00,
,,,,Leodus-5ltr,18,3570.00,2,7140.00,,
25,20/04/2018,LEO-025/18-19,OM SAKTHI STORE,,,,,,6160.00,
,,,,NUTRINOL BASEL ALL CROP 10KG,12,220,25,5500,,
